,Frame,Mean,Game,Alg,Model
404,0,209.9537037037037,Asterix,Amp Single,3
405,1600000,234.11111111111111,Asterix,Amp Single,3
406,3200000,403.69458128078816,Asterix,Amp Single,3
407,4800000,327.5811209439528,Asterix,Amp Single,3
408,6400000,285.88007736943905,Asterix,Amp Single,3
409,8000000,423.11557788944725,Asterix,Amp Single,3
410,9600000,631.0996563573883,Asterix,Amp Single,3
411,11200000,697.2340425531914,Asterix,Amp Single,3
412,12800000,794.4444444444445,Asterix,Amp Single,3
413,14400000,1019.9029126213592,Asterix,Amp Single,3
414,16000000,1095.6953642384105,Asterix,Amp Single,3
415,17600000,1063.5746606334842,Asterix,Amp Single,3
416,19200000,1165.9763313609467,Asterix,Amp Single,3
417,20800000,1315.7894736842106,Asterix,Amp Single,3
418,22400000,1590.159574468085,Asterix,Amp Single,3
419,24000000,1724.7395833333333,Asterix,Amp Single,3
420,25600000,1919.3939393939395,Asterix,Amp Single,3
421,27200000,2115.1898734177216,Asterix,Amp Single,3
422,28800000,2261.7241379310344,Asterix,Amp Single,3
423,30400000,2235.4166666666665,Asterix,Amp Single,3
424,32000000,2427.8260869565215,Asterix,Amp Single,3
425,33600000,2479.6875,Asterix,Amp Single,3
426,35200000,2939.5454545454545,Asterix,Amp Single,3
427,36800000,2504.961832061069,Asterix,Amp Single,3
428,38400000,2232.6666666666665,Asterix,Amp Single,3
429,40000000,2991.25,Asterix,Amp Single,3
430,41600000,3077.391304347826,Asterix,Amp Single,3
431,43200000,2207.4675324675327,Asterix,Amp Single,3
432,44800000,2378.214285714286,Asterix,Amp Single,3
433,46400000,3170.6422018348626,Asterix,Amp Single,3
434,48000000,3386.8852459016393,Asterix,Amp Single,3
435,49600000,3038.582677165354,Asterix,Amp Single,3
436,51200000,3366.2393162393164,Asterix,Amp Single,3
437,52800000,3345.769230769231,Asterix,Amp Single,3
438,54400000,2735.6060606060605,Asterix,Amp Single,3
439,56000000,4088.8349514563106,Asterix,Amp Single,3
440,57600000,3904.090909090909,Asterix,Amp Single,3
441,59200000,4551.9607843137255,Asterix,Amp Single,3
442,60800000,3634.1666666666665,Asterix,Amp Single,3
443,62400000,5113.020833333333,Asterix,Amp Single,3
444,64000000,5356.632653061224,Asterix,Amp Single,3
445,65600000,5799.431818181818,Asterix,Amp Single,3
446,67200000,4486.607142857143,Asterix,Amp Single,3
447,68800000,5160.606060606061,Asterix,Amp Single,3
448,70400000,4031.1475409836066,Asterix,Amp Single,3
449,72000000,4706.422018348624,Asterix,Amp Single,3
450,73600000,6287.951807228916,Asterix,Amp Single,3
451,75200000,6969.135802469136,Asterix,Amp Single,3
452,76800000,5444.2307692307695,Asterix,Amp Single,3
453,78400000,5227.358490566037,Asterix,Amp Single,3
454,80000000,4399.122807017544,Asterix,Amp Single,3
455,81600000,7864.864864864865,Asterix,Amp Single,3
456,83200000,5832.98969072165,Asterix,Amp Single,3
457,84800000,9229.333333333334,Asterix,Amp Single,3
458,86400000,6853.260869565217,Asterix,Amp Single,3
459,88000000,5847.0,Asterix,Amp Single,3
460,89600000,5143.92523364486,Asterix,Amp Single,3
461,91200000,6825.568181818182,Asterix,Amp Single,3
462,92800000,9101.369863013699,Asterix,Amp Single,3
