,Frame,Mean,Game,Alg,Model,Average Score,Best Score
202,1200000,277.4698795180723,Asterix,Amp Single,1,,27724.48979591837
203,1600000,289.86710963455147,Asterix,Amp Single,1,,27724.48979591837
204,2000000,373.9130434782609,Asterix,Amp Single,1,,27724.48979591837
205,2400000,371.8112244897959,Asterix,Amp Single,1,,27724.48979591837
206,2800000,468.25396825396825,Asterix,Amp Single,1,,27724.48979591837
207,3200000,707.1929824561404,Asterix,Amp Single,1,,27724.48979591837
208,3600000,861.3526570048309,Asterix,Amp Single,1,,27724.48979591837
209,4000000,1030.184331797235,Asterix,Amp Single,1,492.45201047182024,27724.48979591837
210,4400000,1467.9144385026739,Asterix,Amp Single,1,611.9240626871067,27724.48979591837
211,4800000,1764.6341463414635,Asterix,Amp Single,1,761.2593781476993,27724.48979591837
212,5200000,2215.267175572519,Asterix,Amp Single,1,955.039107753144,27724.48979591837
213,5600000,2174.285714285714,Asterix,Amp Single,1,1143.4809682182602,27724.48979591837
214,6000000,1965.8064516129032,Asterix,Amp Single,1,1302.6703090317246,27724.48979591837
215,6400000,2003.525641025641,Asterix,Amp Single,1,1465.8417506853089,27724.48979591837
216,6800000,2512.5,Asterix,Amp Single,1,1670.2663538599122,27724.48979591837
217,7200000,2747.6744186046512,Asterix,Amp Single,1,1874.3144974747634,27724.48979591837
218,7600000,2523.758865248227,Asterix,Amp Single,1,2040.5551182991028,27724.48979591837
219,8000000,2518.6991869918697,Asterix,Amp Single,1,2189.4066038185665,27724.48979591837
220,8400000,2699.6124031007753,Asterix,Amp Single,1,2312.5764002783767,27724.48979591837
221,8800000,2783.3333333333335,Asterix,Amp Single,1,2414.4463189775634,27724.48979591837
222,9200000,2721.09375,Asterix,Amp Single,1,2465.028976420311,27724.48979591837
223,9600000,2996.72131147541,Asterix,Amp Single,1,2547.272536139281,27724.48979591837
224,10000000,2867.910447761194,Asterix,Amp Single,1,2637.4829357541103,27724.48979591837
225,10400000,1979.4117647058824,Asterix,Amp Single,1,2635.071548122134,27724.48979591837
226,10800000,3065.0,Asterix,Amp Single,1,2690.321548122134,27724.48979591837
227,11200000,2878.676470588235,Asterix,Amp Single,1,2703.4217533204924,27724.48979591837
228,11600000,3429.0,Asterix,Amp Single,1,2793.9458667956696,27724.48979591837
229,12000000,2738.257575757576,Asterix,Amp Single,1,2815.90170567224,27724.48979591837
230,12400000,2866.6666666666665,Asterix,Amp Single,1,2832.6071320288293,27724.48979591837
231,12800000,3622.7272727272725,Asterix,Amp Single,1,2916.5465259682232,27724.48979591837
232,13200000,3212.9032258064517,Asterix,Amp Single,1,2965.7274735488686,27724.48979591837
233,13600000,2276.158940397351,Asterix,Amp Single,1,2893.671236441063,27724.48979591837
234,14000000,4010.0,Asterix,Amp Single,1,3007.8801916649436,27724.48979591837
235,14400000,3835.3982300884954,Asterix,Amp Single,1,3193.4788382032048,27724.48979591837
236,14800000,3725.0,Asterix,Amp Single,1,3259.4788382032048,27724.48979591837
237,15200000,3654.878048780488,Asterix,Amp Single,1,3337.09899602243,27724.48979591837
238,15600000,3569.491525423729,Asterix,Amp Single,1,3351.148148564803,27724.48979591837
239,16000000,5398.4375,Asterix,Amp Single,1,3617.1661409890453,27724.48979591837
240,16400000,3646.788990825688,Asterix,Amp Single,1,3695.178373404948,27724.48979591837
241,16800000,5232.5,Asterix,Amp Single,1,3856.1556461322207,27724.48979591837
242,17200000,4820.192307692308,Asterix,Amp Single,1,4016.884554320806,27724.48979591837
243,17600000,4969.902912621359,Asterix,Amp Single,1,4286.258951543206,27724.48979591837
244,18000000,5219.306930693069,Asterix,Amp Single,1,4407.189644612514,27724.48979591837
245,18400000,4316.831683168317,Asterix,Amp Single,1,4455.332989920496,27724.48979591837
246,18800000,4711.881188118812,Asterix,Amp Single,1,4554.021108732377,27724.48979591837
247,19200000,5513.0,Asterix,Amp Single,1,4739.833303854328,27724.48979591837
248,19600000,4763.761467889908,Asterix,Amp Single,1,4859.260298100946,27724.48979591837
249,20000000,4207.627118644068,Asterix,Amp Single,1,4740.179259965354,27724.48979591837
250,20400000,5705.263157894737,Asterix,Amp Single,1,4946.026676672258,27724.48979591837
251,20800000,3645.9349593495936,Asterix,Amp Single,1,4787.370172607217,27724.48979591837
252,21200000,5886.0,Asterix,Amp Single,1,4893.950941837987,27724.48979591837
253,21600000,2989.6428571428573,Asterix,Amp Single,1,4695.924936290136,27724.48979591837
254,22000000,5608.510638297872,Asterix,Amp Single,1,4734.845307050617,27724.48979591837
255,22400000,3404.3650793650795,Asterix,Amp Single,1,4643.5986466702925,27724.48979591837
256,22800000,5281.382978723404,Asterix,Amp Single,1,4700.548825730752,27724.48979591837
257,23200000,3538.8888888888887,Asterix,Amp Single,1,4503.137714619641,27724.48979591837
258,23600000,6404.395604395604,Asterix,Amp Single,1,4667.201128270211,27724.48979591837
259,24000000,6541.847826086957,Asterix,Amp Single,1,4900.6231990145,27724.48979591837
260,24400000,9454.430379746835,Asterix,Amp Single,1,5275.539921199709,27724.48979591837
261,24800000,5984.408602150537,Asterix,Amp Single,1,5509.387285479804,27724.48979591837
262,25200000,7084.269662921349,Asterix,Amp Single,1,5629.2142517719385,27724.48979591837
263,25600000,7333.146067415731,Asterix,Amp Single,1,6063.564572799225,27724.48979591837
264,26000000,6736.59793814433,Asterix,Amp Single,1,6176.373302783871,27724.48979591837
265,26400000,5978.282828282829,Asterix,Amp Single,1,6433.765077675645,27724.48979591837
266,26800000,6440.0,Asterix,Amp Single,1,6549.626779803306,27724.48979591837
267,27200000,12614.492753623188,Asterix,Amp Single,1,7457.187166276735,27724.48979591837
268,27600000,12468.30985915493,Asterix,Amp Single,1,8063.578591752669,27724.48979591837
269,28000000,11642.142857142857,Asterix,Amp Single,1,8573.608094858258,27724.48979591837
270,28400000,16417.543859649122,Asterix,Amp Single,1,9269.919442848488,27724.48979591837
